Total messages: 15 (Errors: 12, Warnings: 0)

[DEBUG] [vite] connecting... @ http://localhost:5173/@vite/client:826
[DEBUG] [vite] connected. @ http://localhost:5173/@vite/client:930
[INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=9bb9eae4:14090
[ERROR] WebSocket connection to 'ws://localhost:8765/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5173/src/hooks/useWebSocket.js:65
[ERROR] WebSocket connection to 'ws://localhost:8765/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5173/src/hooks/useWebSocket.js:65
[ERROR] WebSocket connection to 'ws://localhost:8765/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5173/src/hooks/useWebSocket.js:65
[ERROR] WebSocket connection to 'ws://localhost:8765/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5173/src/hooks/useWebSocket.js:65
[ERROR] WebSocket connection to 'ws://localhost:8765/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5173/src/hooks/useWebSocket.js:65
[ERROR] WebSocket connection to 'ws://localhost:8765/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5173/src/hooks/useWebSocket.js:65
[ERROR] WebSocket connection to 'ws://localhost:8765/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5173/src/hooks/useWebSocket.js:65
[ERROR] WebSocket connection to 'ws://localhost:8765/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5173/src/hooks/useWebSocket.js:65
[ERROR] WebSocket connection to 'ws://localhost:8765/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5173/src/hooks/useWebSocket.js:65
[ERROR] WebSocket connection to 'ws://localhost:8765/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5173/src/hooks/useWebSocket.js:65
[ERROR] WebSocket connection to 'ws://localhost:8765/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5173/src/hooks/useWebSocket.js:65
[ERROR] WebSocket connection to 'ws://localhost:8765/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5173/src/hooks/useWebSocket.js:65
