backend/brain/gemini_agent.py:7: error: Module "google" has no attribute "genai"  [attr-defined]
backend/auth/embeddings.py:129: error: Returning Any from function declared to return "ndarray[Any, dtype[floating[_32Bit]]]"  [no-any-return]
backend/tests/test_plugins.py:24: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_plugins.py:47: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_plugins.py:74: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_plugins.py:91: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/conftest.py:11: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/conftest.py:12: error: Missing type arguments for generic type "ndarray"  [type-arg]
backend/tests/conftest.py:17: error: Returning Any from function declared to return "ndarray[Any, Any]"  [no-any-return]
backend/tests/conftest.py:20: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/conftest.py:26: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_stt.py:12: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_stt.py:13: error: Missing type arguments for generic type "ndarray"  [type-arg]
backend/tests/test_stt.py:33: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_stt.py:47: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_stt.py:48: error: Missing type arguments for generic type "ndarray"  [type-arg]
backend/tests/test_stt.py:66: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_stt.py:67: error: Missing type arguments for generic type "ndarray"  [type-arg]
backend/tests/test_startup_service.py:9: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_startup_service.py:42: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_intent.py:40: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_state_machine.py:10: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_state_machine.py:20: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_state_machine.py:28: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_state_machine.py:40: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_state_machine.py:53: error: Unused "type: ignore" comment  [unused-ignore]
backend/tests/test_state_machine.py:68: error: Unused "type: ignore" comment  [unused-ignore]
backend/auth/speaker_verify.py:50: error: Missing type arguments for generic type "ndarray"  [type-arg]
backend/vision/capture.py:12: error: Incompatible types in assignment (expression has type "None", variable has type Module)  [assignment]
backend/vision/capture.py:17: error: Incompatible types in assignment (expression has type "None", variable has type Module)  [assignment]
backend/voice/tts_elevenlabs.py:73: error: Redundant cast to "bytes"  [redundant-cast]
backend/services/web_fetcher.py:15: error: Cannot assign to a type  [misc]
backend/services/web_fetcher.py:15: error: Incompatible types in assignment (expression has type "None", variable has type "type[BeautifulSoup]")  [assignment]
backend/api/key_validator.py:120: error: Argument "params" to "get" of "AsyncClient" has incompatible type "dict[str, object]"; expected "QueryParams | Mapping[str, str | int | float | bool | None | Sequence[str | int | float | bool | None]] | list[tuple[str, str | int | float | bool | None]] | tuple[tuple[str, str | int | float | bool | None], ...] | str | bytes | None"  [arg-type]
backend/vision/ocr.py:14: error: Incompatible types in assignment (expression has type "None", variable has type Module)  [assignment]
backend/vision/ocr.py:15: error: Incompatible types in assignment (expression has type "None", variable has type Module)  [assignment]
backend/vision/ocr.py:16: error: Incompatible types in assignment (expression has type "None", variable has type Module)  [assignment]
